210
7 1
   5    4    3    3    6    3    3    3 
1.00 1.00 1.00 1.00 1.00 1.00 1.00 
0.000000 0.000000 0.686773 0.313227 0.000000 	0.000000 0.252170 0.747830 0.000000 	0.000000 0.850787 0.149213 	0.000000 0.904432 0.095568 	0.000000 0.000000 0.488743 0.511257 0.000000 0.000000 	0.961279 0.038721 0.000000 	0.170585 0.829415 0.000000 	1.000000 0.000000 0.000000 	
0.000000 0.000000 0.878300 0.121700 0.000000 	0.000000 0.523159 0.476841 0.000000 	0.000000 0.469255 0.530745 	0.333118 0.666882 0.000000 	0.000000 0.000000 0.397915 0.602085 0.000000 0.000000 	1.000000 0.000000 0.000000 	0.945342 0.054658 0.000000 	1.000000 0.000000 0.000000 	
0.000000 0.174635 0.825365 0.000000 0.000000 	0.005328 0.994672 0.000000 0.000000 	0.000000 0.000000 1.000000 	0.894421 0.105579 0.000000 	0.000000 0.000000 0.380615 0.619385 0.000000 0.000000 	0.679369 0.320631 0.000000 	1.000000 0.000000 0.000000 	1.000000 0.000000 0.000000 	
0.000000 0.400104 0.599896 0.000000 0.000000 	0.168506 0.831494 0.000000 0.000000 	0.000000 0.000000 1.000000 	0.823991 0.176008 0.000000 	0.000000 0.000000 0.198958 0.801042 0.000000 0.000000 	0.938867 0.061133 0.000000 	1.000000 0.000000 0.000000 	1.000000 0.000000 0.000000 	
0.000000 0.000000 0.243236 0.756764 0.000000 	0.000000 0.101621 0.898379 0.000000 	0.000000 0.000000 1.000000 	0.111158 0.888842 0.000000 	0.000000 0.000000 0.000000 0.350041 0.649959 0.000000 	1.000000 0.000000 0.000000 	0.302645 0.697356 0.000000 	1.000000 0.000000 0.000000 	
0.000000 0.129540 0.870459 0.000000 0.000000 	0.000000 0.884477 0.115523 0.000000 	0.000000 0.000000 1.000000 	0.691669 0.308331 0.000000 	0.000000 0.000000 0.488743 0.511257 0.000000 0.000000 	0.819144 0.180856 0.000000 	0.945342 0.054658 0.000000 	1.000000 0.000000 0.000000 	
0.000000 0.000000 0.974064 0.025936 0.000000 	0.000000 0.603452 0.396548 0.000000 	0.000000 0.514586 0.485414 	0.313910 0.686090 0.000000 	0.000000 0.000000 0.717977 0.282023 0.000000 0.000000 	0.156245 0.843755 0.000000 	0.173519 0.826481 0.000000 	1.000000 0.000000 0.000000 	
0.000000 0.264823 0.735177 0.000000 0.000000 	0.000000 0.994879 0.005121 0.000000 	0.000000 0.091501 0.908499 	0.619105 0.380895 0.000000 	0.000000 0.000000 0.531995 0.468005 0.000000 0.000000 	0.678779 0.321221 0.000000 	0.816215 0.183785 0.000000 	1.000000 0.000000 0.000000 	
0.000000 0.000000 0.000000 0.997071 0.002929 	0.000000 0.000000 0.723245 0.276755 	0.000000 0.711017 0.288982 	0.000000 0.380687 0.619313 	0.000000 0.000000 0.000000 0.810231 0.189769 0.000000 	1.000000 0.000000 0.000000 	0.000000 0.225732 0.774268 	1.000000 0.000000 0.000000 	
0.000000 0.000000 0.092030 0.907970 0.000000 	0.000000 0.000000 0.880855 0.119145 	0.000000 0.208604 0.791396 	0.000000 0.685904 0.314096 	0.000000 0.000000 0.000000 0.620462 0.379538 0.000000 	1.000000 0.000000 0.000000 	0.000000 0.670481 0.329519 	1.000000 0.000000 0.000000 	
0.000000 0.000000 0.686773 0.313227 0.000000 	0.000000 0.242133 0.757867 0.000000 	0.000000 0.903673 0.096327 	0.000000 0.992926 0.007074 	0.000000 0.000000 0.791504 0.208496 0.000000 0.000000 	0.000000 0.615561 0.384439 	0.000000 0.953620 0.046380 	1.000000 0.000000 0.000000 	
