178
13 1
   3    4    3    3    3    3    3    3    3    3    3    3    4    3 
1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 
0.000000 0.000000 1.000000 	0.311489 0.688511 0.000000 0.000000 	0.000000 0.674254 0.325746 	1.000000 0.000000 0.000000 	0.000000 0.000000 1.000000 	0.000000 0.396682 0.603318 	0.000000 0.023593 0.976407 	0.833602 0.166397 0.000000 	0.000000 0.244432 0.755568 	0.000000 0.949856 0.050144 	0.000000 0.729861 0.270139 	0.000000 0.000000 1.000000 	0.000000 0.000000 0.839028 0.160972 	1.000000 0.000000 0.000000 	
0.000000 0.793652 0.206348 	0.203212 0.796788 0.000000 0.000000 	0.462264 0.537736 0.000000 	1.000000 0.000000 0.000000 	0.175411 0.824589 0.000000 	0.000000 0.634504 0.365496 	0.000000 0.309345 0.690655 	0.972536 0.027464 0.000000 	0.533508 0.466492 0.000000 	0.434567 0.565433 0.000000 	0.000000 0.690579 0.309421 	0.000000 0.000000 1.000000 	0.000000 0.000000 0.885033 0.114967 	1.000000 0.000000 0.000000 	
0.000000 0.839056 0.160944 	0.000000 0.698631 0.301369 0.000000 	0.000000 0.000000 1.000000 	0.308898 0.691102 0.000000 	0.111981 0.888019 0.000000 	0.000000 0.396682 0.603318 	0.000000 0.000000 1.000000 	0.694669 0.305331 0.000000 	0.000000 0.000000 1.000000 	0.000000 0.938569 0.061431 	0.000000 0.769143 0.230857 	0.000000 0.292378 0.707622 	0.000000 0.000000 0.470987 0.529013 	1.000000 0.000000 0.000000 	
0.000000 0.000000 1.000000 	0.000000 0.974053 0.025947 0.000000 	0.000000 0.475974 0.524026 	0.746107 0.253893 0.000000 	0.000000 0.542077 0.457924 	0.000000 0.000000 1.000000 	0.000000 0.000000 1.000000 	1.000000 0.000000 0.000000 	0.000000 0.374953 0.625047 	0.000000 0.340346 0.659654 	0.366336 0.633664 0.000000 	0.000000 0.000000 1.000000 	0.000000 0.000000 0.000000 1.000000 	1.000000 0.000000 0.000000 	
0.000000 0.748247 0.251753 	0.000000 0.544126 0.455874 0.000000 	0.000000 0.000000 1.000000 	0.000000 0.753643 0.246357 	0.000000 0.318362 0.681638 	0.000000 0.396682 0.603318 	0.000000 0.376021 0.623979 	0.069467 0.930533 0.000000 	0.000000 0.802116 0.197884 	0.458659 0.541341 0.000000 	0.000000 0.729861 0.270139 	0.000000 0.661697 0.338303 	0.000000 0.872011 0.127989 0.000000 	1.000000 0.000000 0.000000 	
0.000000 0.000000 1.000000 	0.234149 0.765851 0.000000 0.000000 	0.000000 0.617602 0.382398 	1.000000 0.000000 0.000000 	0.000000 0.586819 0.413181 	0.000000 0.000000 1.000000 	0.000000 0.000000 1.000000 	0.416801 0.583199 0.000000 	0.000000 0.624132 0.375868 	0.000000 0.636635 0.363365 	0.000000 0.690579 0.309421 	0.000000 0.784804 0.215196 	0.000000 0.000000 0.000000 1.000000 	1.000000 0.000000 0.000000 	
0.000000 0.000000 1.000000 	0.063999 0.936001 0.000000 0.000000 	0.000000 0.617602 0.382398 	1.000000 0.000000 0.000000 	0.429131 0.570869 0.000000 	0.000000 0.872327 0.127673 	0.000000 0.537947 0.462053 	0.694669 0.305331 0.000000 	0.000000 0.612266 0.387734 	0.085242 0.914758 0.000000 	0.000000 0.808425 0.191575 	0.000000 0.000000 1.000000 	0.000000 0.000000 0.148950 0.851050 	1.000000 0.000000 0.000000 	
0.000000 0.000000 1.000000 	0.000000 0.839701 0.160299 0.000000 	0.000000 0.164391 0.835609 	0.551792 0.448208 0.000000 	0.000000 0.184134 0.815866 	0.000000 0.713779 0.286221 	0.000000 0.547472 0.452528 	0.625202 0.374798 0.000000 	0.576391 0.423609 0.000000 	0.165547 0.834453 0.000000 	0.000000 0.651297 0.348703 	0.000000 0.000000 1.000000 	0.000000 0.000000 0.133615 0.866385 	1.000000 0.000000 0.000000 	
0.000000 0.000000 1.000000 	0.419766 0.580234 0.000000 0.000000 	0.383019 0.616981 0.000000 	1.000000 0.000000 0.000000 	0.365701 0.634299 0.000000 	0.000000 0.396682 0.603318 	0.000000 0.099793 0.900207 	0.764136 0.235864 0.000000 	0.000000 0.612266 0.387734 	0.105318 0.894682 0.000000 	0.000000 0.572732 0.427268 	0.000000 0.784804 0.215196 	0.000000 0.000000 0.900368 0.099632 	1.000000 0.000000 0.000000 	
0.000000 0.044474 0.955526 	0.868341 0.131659 0.000000 0.000000 	0.118868 0.881132 0.000000 	0.940422 0.059578 0.000000 	0.302271 0.697729 0.000000 	0.000000 0.111295 0.888705 	0.000000 0.000000 1.000000 	1.000000 0.000000 0.000000 	0.000000 0.766519 0.233481 	0.000000 0.504011 0.495989 	0.000000 0.847707 0.152293 	0.000000 0.000000 1.000000 	0.000000 0.000000 0.900368 0.099632 	1.000000 0.000000 0.000000 	
0.000000 0.000000 1.000000 	0.000000 0.832983 0.167017 0.000000 	0.039623 0.960377 0.000000 	0.454634 0.545366 0.000000 	0.000000 0.900019 0.099981 	0.000000 0.158859 0.841141 	0.000000 0.000000 1.000000 	1.000000 0.000000 0.000000 	0.000000 0.137641 0.862359 	0.000000 0.918816 0.081184 	0.000000 0.000000 1.000000 	0.000000 0.292378 0.707622 	0.000000 0.000000 0.000000 1.000000 	1.000000 0.000000 0.000000 	
0.000000 0.000000 1.000000 	0.667256 0.332744 0.000000 0.000000 	0.000000 0.985837 0.014163 	0.746107 0.253893 0.000000 	0.492561 0.507439 0.000000 	0.282915 0.717085 0.000000 	0.000000 0.623673 0.376327 	0.972536 0.027464 0.000000 	0.118971 0.881029 0.000000 	0.185623 0.814377 0.000000 	0.000000 0.219194 0.780806 	0.000000 0.830969 0.169031 	0.000000 0.000000 0.179620 0.820380 	1.000000 0.000000 0.000000 	
0.000000 0.169337 0.830663 	0.280553 0.719447 0.000000 0.000000 	0.000000 0.730905 0.269095 	0.940422 0.059578 0.000000 	0.873140 0.126860 0.000000 	0.000000 0.713779 0.286221 	0.000000 0.309345 0.690655 	0.764136 0.235864 0.000000 	0.000000 0.813982 0.186018 	0.000000 0.961143 0.038857 	0.000000 0.297758 0.702242 	0.000000 0.707862 0.292138 	0.000000 0.000000 0.056940 0.943060 	1.000000 0.000000 0.000000 	
