Total Entropy of dimension on intervals
Dimension:  	0, Interval: 	1, Total Entropy = 	99999999999
Dimension:  	0, Interval: 	2, Total Entropy = 	2,26785319401336
Dimension:  	0, Interval: 	3, Total Entropy = 	2,39921582102759

Dimension:  	1, Interval: 	1, Total Entropy = 	99999999999
Dimension:  	1, Interval: 	2, Total Entropy = 	2,77335388682169
Dimension:  	1, Interval: 	3, Total Entropy = 	3,13254563654808

Dimension:  	2, Interval: 	1, Total Entropy = 	99999999999
Dimension:  	2, Interval: 	2, Total Entropy = 	1,11513858836356
Dimension:  	2, Interval: 	3, Total Entropy = 	0,730931319367605
Dimension:  	2, Interval: 	4, Total Entropy = 	0,560724466793908
Dimension:  	2, Interval: 	5, Total Entropy = 	0,536403680709119
Dimension:  	2, Interval: 	6, Total Entropy = 	0,556530212748911

Dimension:  	3, Interval: 	1, Total Entropy = 	99999999999
Dimension:  	3, Interval: 	2, Total Entropy = 	1,17596350303771
Dimension:  	3, Interval: 	3, Total Entropy = 	0,568578216568699
Dimension:  	3, Interval: 	4, Total Entropy = 	0,584548467788197



Intervals: 
2	2	5	3	3	
Centers
Dimension: 1
0,2567
0,6418
		Dimension: 2
0,3522
0,6627
		Dimension: 3
0,0756
0,2147
0,5431
0,7149
0,8803
		Dimension: 4
0,0600
0,5154
0,8225
		
Number of classes: 
Dimension 0
0 = 59
1 = 61
2 = 30

Dimension 1
0 = 47
1 = 79
2 = 24

Dimension 2
0 = 37
1 = 13
2 = 25
3 = 43
4 = 26
5 = 6

Dimension 3
0 = 50
1 = 36
2 = 35
3 = 29

*****************************************RESULTS***************************************************************
1,0000	0,0000		sum(1,0000)		0,1214	0,8786		sum(1,0000)		1,0000	0,0000	0,0000	0,0000	0,0000		sum(1,0000)		1,0000	0,0000	0,0000		sum(1,0000)		1,0000	0,0000	0,0000		sum(1,0000)		
1,0000	0,0000		sum(1,0000)		0,7925	0,2075		sum(1,0000)		1,0000	0,0000	0,0000	0,0000	0,0000		sum(1,0000)		1,0000	0,0000	0,0000		sum(1,0000)		1,0000	0,0000	0,0000		sum(1,0000)		
1,0000	0,0000		sum(1,0000)		0,5241	0,4759		sum(1,0000)		1,0000	0,0000	0,0000	0,0000	0,0000		sum(1,0000)		1,0000	0,0000	0,0000		sum(1,0000)		1,0000	0,0000	0,0000		sum(1,0000)		
1,0000	0,0000		sum(1,0000)		0,6583	0,3417		sum(1,0000)		0,9340	0,0660	0,0000	0,0000	0,0000		sum(1,0000)		1,0000	0,0000	0,0000		sum(1,0000)		1,0000	0,0000	0,0000		sum(1,0000)		
1,0000	0,0000		sum(1,0000)		0,0000	1,0000		sum(1,0000)		1,0000	0,0000	0,0000	0,0000	0,0000		sum(1,0000)		1,0000	0,0000	0,0000		sum(1,0000)		1,0000	0,0000	0,0000		sum(1,0000)		
0,8731	0,1269		sum(1,0000)		0,0000	1,0000		sum(1,0000)		0,6904	0,3096	0,0000	0,0000	0,0000		sum(1,0000)		0,8573	0,1427	0,0000		sum(1,0000)		1,0000	0,0000	0,0000		sum(1,0000)		
1,0000	0,0000		sum(1,0000)		0,2556	0,7444		sum(1,0000)		1,0000	0,0000	0,0000	0,0000	0,0000		sum(1,0000)		0,9488	0,0512	0,0000		sum(1,0000)		1,0000	0,0000	0,0000		sum(1,0000)		
1,0000	0,0000		sum(1,0000)		0,2556	0,7444		sum(1,0000)		0,9340	0,0660	0,0000	0,0000	0,0000		sum(1,0000)		1,0000	0,0000	0,0000		sum(1,0000)		1,0000	0,0000	0,0000		sum(1,0000)		
1,0000	0,0000		sum(1,0000)		0,9267	0,0733		sum(1,0000)		1,0000	0,0000	0,0000	0,0000	0,0000		sum(1,0000)		1,0000	0,0000	0,0000		sum(1,0000)		1,0000	0,0000	0,0000		sum(1,0000)		
1,0000	0,0000		sum(1,0000)		0,6583	0,3417		sum(1,0000)		0,9340	0,0660	0,0000	0,0000	0,0000		sum(1,0000)		1,0000	0,0000	0,0000		sum(1,0000)		1,0000	0,0000	0,0000		sum(1,0000)		
0,8731	0,1269		sum(1,0000)		0,0000	1,0000		sum(1,0000)		0,9340	0,0660	0,0000	0,0000	0,0000		sum(1,0000)		1,0000	0,0000	0,0000		sum(1,0000)		1,0000	0,0000	0,0000		sum(1,0000)		
1,0000	0,0000		sum(1,0000)		0,2556	0,7444		sum(1,0000)		0,8122	0,1878	0,0000	0,0000	0,0000		sum(1,0000)		1,0000	0,0000	0,0000		sum(1,0000)		1,0000	0,0000	0,0000		sum(1,0000)		
1,0000	0,0000		sum(1,0000)		0,7925	0,2075		sum(1,0000)		1,0000	0,0000	0,0000	0,0000	0,0000		sum(1,0000)		1,0000	0,0000	0,0000		sum(1,0000)		1,0000	0,0000	0,0000		sum(1,0000)		
1,0000	0,0000		sum(1,0000)		0,7925	0,2075		sum(1,0000)		1,0000	0,0000	0,0000	0,0000	0,0000		sum(1,0000)		1,0000	0,0000	0,0000		sum(1,0000)		1,0000	0,0000	0,0000		sum(1,0000)		
0,5846	0,4154		sum(1,0000)		0,0000	1,0000		sum(1,0000)		1,0000	0,0000	0,0000	0,0000	0,0000		sum(1,0000)		1,0000	0,0000	0,0000		sum(1,0000)		1,0000	0,0000	0,0000		sum(1,0000)		
0,6567	0,3433		sum(1,0000)		0,0000	1,0000		sum(1,0000)		0,9340	0,0660	0,0000	0,0000	0,0000		sum(1,0000)		0,8573	0,1427	0,0000		sum(1,0000)		1,0000	0,0000	0,0000		sum(1,0000)		
0,8731	0,1269		sum(1,0000)		0,0000	1,0000		sum(1,0000)		1,0000	0,0000	0,0000	0,0000	0,0000		sum(1,0000)		0,8573	0,1427	0,0000		sum(1,0000)		1,0000	0,0000	0,0000		sum(1,0000)		
1,0000	0,0000		sum(1,0000)		0,1214	0,8786		sum(1,0000)		1,0000	0,0000	0,0000	0,0000	0,0000		sum(1,0000)		0,9488	0,0512	0,0000		sum(1,0000)		1,0000	0,0000	0,0000		sum(1,0000)		
0,6567	0,3433		sum(1,0000)		0,0000	1,0000		sum(1,0000)		0,6904	0,3096	0,0000	0,0000	0,0000		sum(1,0000)		0,9488	0,0512	0,0000		sum(1,0000)		1,0000	0,0000	0,0000		sum(1,0000)		
1,0000	0,0000		sum(1,0000)		0,0000	1,0000		sum(1,0000)		0,9340	0,0660	0,0000	0,0000	0,0000		sum(1,0000)		0,9488	0,0512	0,0000		sum(1,0000)		1,0000	0,0000	0,0000		sum(1,0000)		
0,8731	0,1269		sum(1,0000)		0,2556	0,7444		sum(1,0000)		0,6904	0,3096	0,0000	0,0000	0,0000		sum(1,0000)		1,0000	0,0000	0,0000		sum(1,0000)		1,0000	0,0000	0,0000		sum(1,0000)		
1,0000	0,0000		sum(1,0000)		0,0000	1,0000		sum(1,0000)		0,9340	0,0660	0,0000	0,0000	0,0000		sum(1,0000)		0,8573	0,1427	0,0000		sum(1,0000)		1,0000	0,0000	0,0000		sum(1,0000)		
1,0000	0,0000		sum(1,0000)		0,0000	1,0000		sum(1,0000)		1,0000	0,0000	0,0000	0,0000	0,0000		sum(1,0000)		1,0000	0,0000	0,0000		sum(1,0000)		1,0000	0,0000	0,0000		sum(1,0000)		
