Total Entropy of dimension on intervals
Dimension:  	0, Interval: 	1, Total Entropy = 	99999999999
Dimension:  	0, Interval: 	2, Total Entropy = 	9,10302014983409
Dimension:  	0, Interval: 	3, Total Entropy = 	13,6197703911998

Dimension:  	1, Interval: 	1, Total Entropy = 	99999999999
Dimension:  	1, Interval: 	2, Total Entropy = 	9,45796607667358
Dimension:  	1, Interval: 	3, Total Entropy = 	16,2112713365794

Dimension:  	2, Interval: 	1, Total Entropy = 	99999999999
Dimension:  	2, Interval: 	2, Total Entropy = 	9,15897234933345
Dimension:  	2, Interval: 	3, Total Entropy = 	15,1440526658178

Dimension:  	3, Interval: 	1, Total Entropy = 	99999999999
Dimension:  	3, Interval: 	2, Total Entropy = 	9,77808375826062
Dimension:  	3, Interval: 	3, Total Entropy = 	16,3198488498349



Dimension:  	6, Interval: 	1, Total Entropy = 	99999999999
Dimension:  	6, Interval: 	2, Total Entropy = 	6,7524835603779
Dimension:  	6, Interval: 	3, Total Entropy = 	13,4610554032578

Dimension:  	7, Interval: 	1, Total Entropy = 	99999999999
Dimension:  	7, Interval: 	2, Total Entropy = 	8,33999639504827
Dimension:  	7, Interval: 	3, Total Entropy = 	12,7481035469733



Intervals: 
3	3	3	3	2	3	3	3	10	
Centers
Dimension: 1
0,0708
0,4360
0,6658
		Dimension: 2
0,2779
0,4438
0,6489
		Dimension: 3
0,1971
0,3709
0,4936
		Dimension: 4
0,1781
0,3419
0,5606
						Dimension: 7
0,0190
0,6194
0,7278
		Dimension: 8
0,2351
0,4082
0,6140
		
Number of classes: 
Dimension 0
0 = 97
1 = 958
2 = 429

Dimension 1
0 = 487
1 = 739
2 = 258

Dimension 2
0 = 309
1 = 803
2 = 372

Dimension 3
0 = 903
1 = 381
2 = 200

Dimension 6
0 = 73
1 = 526
2 = 885

Dimension 7
0 = 1157
1 = 237
2 = 90

*****************************************RESULTS***************************************************************
0,0000	0,3734	0,6266		sum(1,0000)		0,0000	0,4737	0,5263		sum(1,0000)		0,2403	0,7597	0,0000		sum(1,0000)		1,0000	0,0000	0,0000		sum(1,0000)		1,0000	0,0000		sum(1,0000)		1,0000	0,0000	0,0000		sum(1,0000)		0,0000	0,6480	0,3520		sum(1,0000)		1,0000	0,0000	0,0000		sum(1,0000)		0,0000	0,0000	1,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000		sum(1,0000)		
0,0165	0,9835	0,0000		sum(1,0000)		0,0000	0,1375	0,8625		sum(1,0000)		0,1674	0,8326	0,0000		sum(1,0000)		0,4392	0,5608	0,0000		sum(1,0000)		1,0000	0,0000		sum(1,0000)		1,0000	0,0000	0,0000		sum(1,0000)		0,0000	0,0166	0,9834		sum(1,0000)		1,0000	0,0000	0,0000		sum(1,0000)		0,0000	0,0000	1,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000		sum(1,0000)		
0,0000	0,1122	0,8878		sum(1,0000)		0,0000	0,4177	0,5823		sum(1,0000)		0,0946	0,9054	0,0000		sum(1,0000)		1,0000	0,0000	0,0000		sum(1,0000)		1,0000	0,0000		sum(1,0000)		1,0000	0,0000	0,0000		sum(1,0000)		0,0000	0,0166	0,9834		sum(1,0000)		1,0000	0,0000	0,0000		sum(1,0000)		0,0000	0,0000	1,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000		sum(1,0000)		
0,0000	0,3734	0,6266		sum(1,0000)		0,5271	0,4729	0,0000		sum(1,0000)		0,0000	0,3087	0,6913		sum(1,0000)		1,0000	0,0000	0,0000		sum(1,0000)		1,0000	0,0000		sum(1,0000)		1,0000	0,0000	0,0000		sum(1,0000)		0,0000	0,0000	1,0000		sum(1,0000)		1,0000	0,0000	0,0000		sum(1,0000)		0,0000	1,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000		sum(1,0000)		
0,0439	0,9561	0,0000		sum(1,0000)		0,5271	0,4729	0,0000		sum(1,0000)		0,1674	0,8326	0,0000		sum(1,0000)		0,0000	0,0942	0,9058		sum(1,0000)		1,0000	0,0000		sum(1,0000)		1,0000	0,0000	0,0000		sum(1,0000)		0,0000	0,6480	0,3520		sum(1,0000)		1,0000	0,0000	0,0000		sum(1,0000)		0,0000	0,0000	1,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000		sum(1,0000)		
0,0000	0,6780	0,3220		sum(1,0000)		0,8043	0,1957	0,0000		sum(1,0000)		0,0000	0,4118	0,5882		sum(1,0000)		1,0000	0,0000	0,0000		sum(1,0000)		1,0000	0,0000		sum(1,0000)		0,0000	1,0000	0,0000		sum(1,0000)		0,0000	0,5217	0,4783		sum(1,0000)		1,0000	0,0000	0,0000		sum(1,0000)		1,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000		sum(1,0000)		
0,0000	0,7215	0,2785		sum(1,0000)		0,0000	0,8660	0,1340		sum(1,0000)		0,1674	0,8326	0,0000		sum(1,0000)		0,0000	0,0000	1,0000		sum(1,0000)		1,0000	0,0000		sum(1,0000)		1,0000	0,0000	0,0000		sum(1,0000)		0,0000	0,0166	0,9834		sum(1,0000)		1,0000	0,0000	0,0000		sum(1,0000)		0,0000	0,0000	1,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000		sum(1,0000)		
0,0000	0,8086	0,1914		sum(1,0000)		0,4579	0,5421	0,0000		sum(1,0000)		0,0000	0,1023	0,8977		sum(1,0000)		0,8665	0,1335	0,0000		sum(1,0000)		1,0000	0,0000		sum(1,0000)		1,0000	0,0000	0,0000		sum(1,0000)		0,0000	0,0000	1,0000		sum(1,0000)		0,3941	0,6059	0,0000		sum(1,0000)		0,0000	1,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000		sum(1,0000)		
0,0000	0,5039	0,4961		sum(1,0000)		0,1115	0,8885	0,0000		sum(1,0000)		0,0000	0,0000	1,0000		sum(1,0000)		0,0000	0,9174	0,0826		sum(1,0000)		1,0000	0,0000		sum(1,0000)		1,0000	0,0000	0,0000		sum(1,0000)		0,0000	0,5217	0,4783		sum(1,0000)		1,0000	0,0000	0,0000		sum(1,0000)		0,0000	0,0000	1,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000		sum(1,0000)		
0,0986	0,9014	0,0000		sum(1,0000)		0,8735	0,1265	0,0000		sum(1,0000)		0,0000	0,0000	1,0000		sum(1,0000)		1,0000	0,0000	0,0000		sum(1,0000)		1,0000	0,0000		sum(1,0000)		1,0000	0,0000	0,0000		sum(1,0000)		0,0000	0,0000	1,0000		sum(1,0000)		0,6252	0,3748	0,0000		sum(1,0000)		1,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000		sum(1,0000)		
